Mesh Metrics:
  Number of vertices: 982118
  Number of faces: 1964148
  Number of unique edges: 2948116
  Euler characteristic: -1850
  Number of boundary loops: 413
  Number of boundary edges: 3697
  Average loop size: 8.95157
  Max loop size: 335
  Min loop size: 1
LOOP DETAILS:
  Loop 0 size: 214
  Loop 1 size: 9
  Loop 2 size: 1
  Loop 3 size: 10
  Loop 4 size: 5
  Loop 5 size: 34
  Loop 6 size: 13
  Loop 7 size: 335
  Loop 8 size: 11
  Loop 9 size: 17
  Loop 10 size: 4
  Loop 11 size: 5
  Loop 12 size: 13
  Loop 13 size: 9
  Loop 14 size: 109
  Loop 15 size: 78
  Loop 16 size: 6
  Loop 17 size: 3
  Loop 18 size: 1
  Loop 19 size: 1
  Loop 20 size: 9
  Loop 21 size: 57
  Loop 22 size: 1
  Loop 23 size: 6
  Loop 24 size: 12
  Loop 25 size: 5
  Loop 26 size: 111
  Loop 27 size: 4
  Loop 28 size: 5
  Loop 29 size: 5
  Loop 30 size: 87
  Loop 31 size: 6
  Loop 32 size: 17
  Loop 33 size: 7
  Loop 34 size: 10
  Loop 35 size: 3
  Loop 36 size: 16
  Loop 37 size: 3
  Loop 38 size: 11
  Loop 39 size: 5
  Loop 40 size: 1
  Loop 41 size: 1
  Loop 42 size: 1
  Loop 43 size: 10
  Loop 44 size: 23
  Loop 45 size: 11
  Loop 46 size: 12
  Loop 47 size: 49
  Loop 48 size: 3
  Loop 49 size: 7
  Loop 50 size: 5
  Loop 51 size: 5
  Loop 52 size: 32
  Loop 53 size: 7
  Loop 54 size: 6
  Loop 55 size: 4
  Loop 56 size: 3
  Loop 57 size: 10
  Loop 58 size: 6
  Loop 59 size: 4
  Loop 60 size: 24
  Loop 61 size: 5
  Loop 62 size: 4
  Loop 63 size: 9
  Loop 64 size: 4
  Loop 65 size: 1
  Loop 66 size: 3
  Loop 67 size: 1
  Loop 68 size: 17
  Loop 69 size: 46
  Loop 70 size: 9
  Loop 71 size: 12
  Loop 72 size: 6
  Loop 73 size: 9
  Loop 74 size: 4
  Loop 75 size: 13
  Loop 76 size: 3
  Loop 77 size: 4
  Loop 78 size: 1
  Loop 79 size: 2
  Loop 80 size: 8
  Loop 81 size: 6
  Loop 82 size: 3
  Loop 83 size: 5
  Loop 84 size: 5
  Loop 85 size: 3
  Loop 86 size: 1
  Loop 87 size: 1
  Loop 88 size: 7
  Loop 89 size: 54
  Loop 90 size: 1
  Loop 91 size: 2
  Loop 92 size: 6
  Loop 93 size: 3
  Loop 94 size: 1
  Loop 95 size: 1
  Loop 96 size: 5
  Loop 97 size: 4
  Loop 98 size: 1
  Loop 99 size: 32
  Loop 100 size: 8
  Loop 101 size: 5
  Loop 102 size: 4
  Loop 103 size: 7
  Loop 104 size: 10
  Loop 105 size: 3
  Loop 106 size: 1
  Loop 107 size: 11
  Loop 108 size: 2
  Loop 109 size: 4
  Loop 110 size: 4
  Loop 111 size: 19
  Loop 112 size: 3
  Loop 113 size: 6
  Loop 114 size: 3
  Loop 115 size: 4
  Loop 116 size: 6
  Loop 117 size: 6
  Loop 118 size: 5
  Loop 119 size: 5
  Loop 120 size: 1
  Loop 121 size: 3
  Loop 122 size: 4
  Loop 123 size: 14
  Loop 124 size: 2
  Loop 125 size: 8
  Loop 126 size: 8
  Loop 127 size: 6
  Loop 128 size: 8
  Loop 129 size: 5
  Loop 130 size: 27
  Loop 131 size: 6
  Loop 132 size: 10
  Loop 133 size: 1
  Loop 134 size: 3
  Loop 135 size: 4
  Loop 136 size: 2
  Loop 137 size: 4
  Loop 138 size: 5
  Loop 139 size: 1
  Loop 140 size: 14
  Loop 141 size: 65
  Loop 142 size: 6
  Loop 143 size: 18
  Loop 144 size: 2
  Loop 145 size: 4
  Loop 146 size: 9
  Loop 147 size: 5
  Loop 148 size: 4
  Loop 149 size: 11
  Loop 150 size: 1
  Loop 151 size: 4
  Loop 152 size: 5
  Loop 153 size: 2
  Loop 154 size: 2
  Loop 155 size: 8
  Loop 156 size: 1
  Loop 157 size: 13
  Loop 158 size: 3
  Loop 159 size: 13
  Loop 160 size: 1
  Loop 161 size: 6
  Loop 162 size: 23
  Loop 163 size: 4
  Loop 164 size: 1
  Loop 165 size: 3
  Loop 166 size: 17
  Loop 167 size: 3
  Loop 168 size: 8
  Loop 169 size: 6
  Loop 170 size: 1
  Loop 171 size: 1
  Loop 172 size: 5
  Loop 173 size: 2
  Loop 174 size: 4
  Loop 175 size: 1
  Loop 176 size: 4
  Loop 177 size: 2
  Loop 178 size: 2
  Loop 179 size: 1
  Loop 180 size: 2
  Loop 181 size: 3
  Loop 182 size: 3
  Loop 183 size: 3
  Loop 184 size: 4
  Loop 185 size: 20
  Loop 186 size: 25
  Loop 187 size: 7
  Loop 188 size: 14
  Loop 189 size: 5
  Loop 190 size: 3
  Loop 191 size: 4
  Loop 192 size: 2
  Loop 193 size: 12
  Loop 194 size: 20
  Loop 195 size: 1
  Loop 196 size: 3
  Loop 197 size: 23
  Loop 198 size: 1
  Loop 199 size: 5
  Loop 200 size: 9
  Loop 201 size: 1
  Loop 202 size: 1
  Loop 203 size: 1
  Loop 204 size: 8
  Loop 205 size: 38
  Loop 206 size: 8
  Loop 207 size: 47
  Loop 208 size: 12
  Loop 209 size: 2
  Loop 210 size: 14
  Loop 211 size: 9
  Loop 212 size: 33
  Loop 213 size: 2
  Loop 214 size: 1
  Loop 215 size: 19
  Loop 216 size: 4
  Loop 217 size: 4
  Loop 218 size: 5
  Loop 219 size: 17
  Loop 220 size: 16
  Loop 221 size: 17
  Loop 222 size: 8
  Loop 223 size: 17
  Loop 224 size: 7
  Loop 225 size: 6
  Loop 226 size: 3
  Loop 227 size: 1
  Loop 228 size: 3
  Loop 229 size: 7
  Loop 230 size: 2
  Loop 231 size: 8
  Loop 232 size: 1
  Loop 233 size: 1
  Loop 234 size: 1
  Loop 235 size: 6
  Loop 236 size: 11
  Loop 237 size: 1
  Loop 238 size: 1
  Loop 239 size: 3
  Loop 240 size: 3
  Loop 241 size: 2
  Loop 242 size: 3
  Loop 243 size: 10
  Loop 244 size: 12
  Loop 245 size: 28
  Loop 246 size: 3
  Loop 247 size: 5
  Loop 248 size: 2
  Loop 249 size: 1
  Loop 250 size: 2
  Loop 251 size: 10
  Loop 252 size: 7
  Loop 253 size: 4
  Loop 254 size: 2
  Loop 255 size: 1
  Loop 256 size: 2
  Loop 257 size: 1
  Loop 258 size: 4
  Loop 259 size: 10
  Loop 260 size: 18
  Loop 261 size: 3
  Loop 262 size: 4
  Loop 263 size: 5
  Loop 264 size: 2
  Loop 265 size: 6
