Mesh Metrics:
  Number of vertices: 833649
  Number of faces: 1666935
  Number of unique edges: 2501937
  Euler characteristic: -1353
  Number of boundary loops: 303
  Number of boundary edges: 3006
  Average loop size: 9.92079
  Max loop size: 167
  Min loop size: 1
LOOP DETAILS:
  Loop 0 size: 16
  Loop 1 size: 1
  Loop 2 size: 25
  Loop 3 size: 167
  Loop 4 size: 27
  Loop 5 size: 1
  Loop 6 size: 4
  Loop 7 size: 77
  Loop 8 size: 6
  Loop 9 size: 10
  Loop 10 size: 28
  Loop 11 size: 4
  Loop 12 size: 26
  Loop 13 size: 23
  Loop 14 size: 5
  Loop 15 size: 7
  Loop 16 size: 39
  Loop 17 size: 27
  Loop 18 size: 100
  Loop 19 size: 151
  Loop 20 size: 30
  Loop 21 size: 10
  Loop 22 size: 13
  Loop 23 size: 8
  Loop 24 size: 14
  Loop 25 size: 67
  Loop 26 size: 1
  Loop 27 size: 9
  Loop 28 size: 22
  Loop 29 size: 1
  Loop 30 size: 7
  Loop 31 size: 9
  Loop 32 size: 8
  Loop 33 size: 10
  Loop 34 size: 4
  Loop 35 size: 109
  Loop 36 size: 1
  Loop 37 size: 2
  Loop 38 size: 13
  Loop 39 size: 1
  Loop 40 size: 6
  Loop 41 size: 5
  Loop 42 size: 8
  Loop 43 size: 5
  Loop 44 size: 6
  Loop 45 size: 60
  Loop 46 size: 10
  Loop 47 size: 37
  Loop 48 size: 3
  Loop 49 size: 6
  Loop 50 size: 9
  Loop 51 size: 1
  Loop 52 size: 4
  Loop 53 size: 10
  Loop 54 size: 6
  Loop 55 size: 4
  Loop 56 size: 8
  Loop 57 size: 8
  Loop 58 size: 29
  Loop 59 size: 3
  Loop 60 size: 6
  Loop 61 size: 4
  Loop 62 size: 5
  Loop 63 size: 4
  Loop 64 size: 14
  Loop 65 size: 7
  Loop 66 size: 1
  Loop 67 size: 4
  Loop 68 size: 1
  Loop 69 size: 1
  Loop 70 size: 2
  Loop 71 size: 13
  Loop 72 size: 10
  Loop 73 size: 5
  Loop 74 size: 1
  Loop 75 size: 6
  Loop 76 size: 9
  Loop 77 size: 2
  Loop 78 size: 4
  Loop 79 size: 6
  Loop 80 size: 8
  Loop 81 size: 3
  Loop 82 size: 3
  Loop 83 size: 11
  Loop 84 size: 2
  Loop 85 size: 3
  Loop 86 size: 132
  Loop 87 size: 1
  Loop 88 size: 1
  Loop 89 size: 5
  Loop 90 size: 1
  Loop 91 size: 4
  Loop 92 size: 1
  Loop 93 size: 1
  Loop 94 size: 1
  Loop 95 size: 3
  Loop 96 size: 6
  Loop 97 size: 5
  Loop 98 size: 47
  Loop 99 size: 1
  Loop 100 size: 4
  Loop 101 size: 72
  Loop 102 size: 1
  Loop 103 size: 6
  Loop 104 size: 23
  Loop 105 size: 23
  Loop 106 size: 8
  Loop 107 size: 14
  Loop 108 size: 8
  Loop 109 size: 6
  Loop 110 size: 4
  Loop 111 size: 5
  Loop 112 size: 5
  Loop 113 size: 12
  Loop 114 size: 11
  Loop 115 size: 8
  Loop 116 size: 5
  Loop 117 size: 6
  Loop 118 size: 60
  Loop 119 size: 1
  Loop 120 size: 2
  Loop 121 size: 4
  Loop 122 size: 18
  Loop 123 size: 37
  Loop 124 size: 18
  Loop 125 size: 10
  Loop 126 size: 1
  Loop 127 size: 1
  Loop 128 size: 4
  Loop 129 size: 5
  Loop 130 size: 5
  Loop 131 size: 7
  Loop 132 size: 3
  Loop 133 size: 3
  Loop 134 size: 1
  Loop 135 size: 2
  Loop 136 size: 4
  Loop 137 size: 2
  Loop 138 size: 16
  Loop 139 size: 8
  Loop 140 size: 4
  Loop 141 size: 2
  Loop 142 size: 21
  Loop 143 size: 1
  Loop 144 size: 2
  Loop 145 size: 2
  Loop 146 size: 1
  Loop 147 size: 5
  Loop 148 size: 11
  Loop 149 size: 23
  Loop 150 size: 17
  Loop 151 size: 15
  Loop 152 size: 7
  Loop 153 size: 38
  Loop 154 size: 5
  Loop 155 size: 9
  Loop 156 size: 1
  Loop 157 size: 3
  Loop 158 size: 2
  Loop 159 size: 9
  Loop 160 size: 2
  Loop 161 size: 1
  Loop 162 size: 3
  Loop 163 size: 3
  Loop 164 size: 8
  Loop 165 size: 1
  Loop 166 size: 5
  Loop 167 size: 8
  Loop 168 size: 4
  Loop 169 size: 12
  Loop 170 size: 1
  Loop 171 size: 17
  Loop 172 size: 8
  Loop 173 size: 6
  Loop 174 size: 1
  Loop 175 size: 1
  Loop 176 size: 1
  Loop 177 size: 1
  Loop 178 size: 1
  Loop 179 size: 1
  Loop 180 size: 2
  Loop 181 size: 6
  Loop 182 size: 1
  Loop 183 size: 15
  Loop 184 size: 69
  Loop 185 size: 10
  Loop 186 size: 9
  Loop 187 size: 5
  Loop 188 size: 47
  Loop 189 size: 7
  Loop 190 size: 5
  Loop 191 size: 3
  Loop 192 size: 6
  Loop 193 size: 5
  Loop 194 size: 7
  Loop 195 size: 6
  Loop 196 size: 6
  Loop 197 size: 5
  Loop 198 size: 15
  Loop 199 size: 1
  Loop 200 size: 1
  Loop 201 size: 10
  Loop 202 size: 1
