Mesh Metrics:
  Number of vertices: 437134
  Number of faces: 849562
  Number of unique edges: 1288986
  Euler characteristic: -2290
  Number of boundary loops: 1711
  Number of boundary edges: 29241
  Average loop size: 17.09
  Max loop size: 3018
  Min loop size: 1
LOOP DETAILS:
  Loop 0 size: 39
  Loop 1 size: 3018
  Loop 2 size: 136
  Loop 3 size: 5
  Loop 4 size: 6
  Loop 5 size: 3
  Loop 6 size: 3
  Loop 7 size: 17
  Loop 8 size: 4
  Loop 9 size: 15
  Loop 10 size: 12
  Loop 11 size: 3
  Loop 12 size: 5
  Loop 13 size: 3
  Loop 14 size: 4
  Loop 15 size: 1767
  Loop 16 size: 3
  Loop 17 size: 1
  Loop 18 size: 2
  Loop 19 size: 1
  Loop 20 size: 4
  Loop 21 size: 4
  Loop 22 size: 1
  Loop 23 size: 5
  Loop 24 size: 4
  Loop 25 size: 5
  Loop 26 size: 1
  Loop 27 size: 2
  Loop 28 size: 4
  Loop 29 size: 3
  Loop 30 size: 1
  Loop 31 size: 1
  Loop 32 size: 3
  Loop 33 size: 3
  Loop 34 size: 5
  Loop 35 size: 6
  Loop 36 size: 3
  Loop 37 size: 13
  Loop 38 size: 8
  Loop 39 size: 3
  Loop 40 size: 3
  Loop 41 size: 9
  Loop 42 size: 7
  Loop 43 size: 3
  Loop 44 size: 1
  Loop 45 size: 1
  Loop 46 size: 1
  Loop 47 size: 40
  Loop 48 size: 23
  Loop 49 size: 113
  Loop 50 size: 1
  Loop 51 size: 4
  Loop 52 size: 6
  Loop 53 size: 2
  Loop 54 size: 4
  Loop 55 size: 85
  Loop 56 size: 3
  Loop 57 size: 3
  Loop 58 size: 1
  Loop 59 size: 29
  Loop 60 size: 1
  Loop 61 size: 4
  Loop 62 size: 5
  Loop 63 size: 4
  Loop 64 size: 1
  Loop 65 size: 3
  Loop 66 size: 4
  Loop 67 size: 21
  Loop 68 size: 10
  Loop 69 size: 19
  Loop 70 size: 5
  Loop 71 size: 545
  Loop 72 size: 1
  Loop 73 size: 6
  Loop 74 size: 1
  Loop 75 size: 1
  Loop 76 size: 4
  Loop 77 size: 1
  Loop 78 size: 1
  Loop 79 size: 1
  Loop 80 size: 1
  Loop 81 size: 2
  Loop 82 size: 1
  Loop 83 size: 6
  Loop 84 size: 1
  Loop 85 size: 1
  Loop 86 size: 1
  Loop 87 size: 2
  Loop 88 size: 1
  Loop 89 size: 27
  Loop 90 size: 4
  Loop 91 size: 1
  Loop 92 size: 1
  Loop 93 size: 1
  Loop 94 size: 1
  Loop 95 size: 1
  Loop 96 size: 1
  Loop 97 size: 7
  Loop 98 size: 1
  Loop 99 size: 1
  Loop 100 size: 1
  Loop 101 size: 67
  Loop 102 size: 3
  Loop 103 size: 198
  Loop 104 size: 110
  Loop 105 size: 8
  Loop 106 size: 4
  Loop 107 size: 13
  Loop 108 size: 156
  Loop 109 size: 5
  Loop 110 size: 3
  Loop 111 size: 46
  Loop 112 size: 3
  Loop 113 size: 320
  Loop 114 size: 8
  Loop 115 size: 61
  Loop 116 size: 84
  Loop 117 size: 3
  Loop 118 size: 4
  Loop 119 size: 3
  Loop 120 size: 3
  Loop 121 size: 3
  Loop 122 size: 10
  Loop 123 size: 108
  Loop 124 size: 3
  Loop 125 size: 3
  Loop 126 size: 4
  Loop 127 size: 3
  Loop 128 size: 3
  Loop 129 size: 4
  Loop 130 size: 45
  Loop 131 size: 540
  Loop 132 size: 7
  Loop 133 size: 3
  Loop 134 size: 8
  Loop 135 size: 3
  Loop 136 size: 15
  Loop 137 size: 7
  Loop 138 size: 6
  Loop 139 size: 3
  Loop 140 size: 3
  Loop 141 size: 87
  Loop 142 size: 3
  Loop 143 size: 5
  Loop 144 size: 102
  Loop 145 size: 64
  Loop 146 size: 24
  Loop 147 size: 3
  Loop 148 size: 5
  Loop 149 size: 3
  Loop 150 size: 5
  Loop 151 size: 3
  Loop 152 size: 3
  Loop 153 size: 3
  Loop 154 size: 3
  Loop 155 size: 27
  Loop 156 size: 5
  Loop 157 size: 6
  Loop 158 size: 10
  Loop 159 size: 6
  Loop 160 size: 4
  Loop 161 size: 3
  Loop 162 size: 3
  Loop 163 size: 11
  Loop 164 size: 60
  Loop 165 size: 1
  Loop 166 size: 3
  Loop 167 size: 1
  Loop 168 size: 3
  Loop 169 size: 1
  Loop 170 size: 38
  Loop 171 size: 3
  Loop 172 size: 1
  Loop 173 size: 6
  Loop 174 size: 3
  Loop 175 size: 1
  Loop 176 size: 2
  Loop 177 size: 20
  Loop 178 size: 9
  Loop 179 size: 1
  Loop 180 size: 1
  Loop 181 size: 1
  Loop 182 size: 1
  Loop 183 size: 1
  Loop 184 size: 2
  Loop 185 size: 1
  Loop 186 size: 2
  Loop 187 size: 1
  Loop 188 size: 3
  Loop 189 size: 3
  Loop 190 size: 11
  Loop 191 size: 12
  Loop 192 size: 8
  Loop 193 size: 3
  Loop 194 size: 48
  Loop 195 size: 21
  Loop 196 size: 55
  Loop 197 size: 7
  Loop 198 size: 3
  Loop 199 size: 26
  Loop 200 size: 3
  Loop 201 size: 3
  Loop 202 size: 3
  Loop 203 size: 8
  Loop 204 size: 3
  Loop 205 size: 17
  Loop 206 size: 75
  Loop 207 size: 3
  Loop 208 size: 13
  Loop 209 size: 3
  Loop 210 size: 4
  Loop 211 size: 4
  Loop 212 size: 38
  Loop 213 size: 3
  Loop 214 size: 3
  Loop 215 size: 476
  Loop 216 size: 6
  Loop 217 size: 13
  Loop 218 size: 260
  Loop 219 size: 1
  Loop 220 size: 4
  Loop 221 size: 1
  Loop 222 size: 1
  Loop 223 size: 1
  Loop 224 size: 1
  Loop 225 size: 1
  Loop 226 size: 2
  Loop 227 size: 1
  Loop 228 size: 1
  Loop 229 size: 10
  Loop 230 size: 4
  Loop 231 size: 6
  Loop 232 size: 3
  Loop 233 size: 6
  Loop 234 size: 4
  Loop 235 size: 15
  Loop 236 size: 2
  Loop 237 size: 1
  Loop 238 size: 5
  Loop 239 size: 1
  Loop 240 size: 4
  Loop 241 size: 4
  Loop 242 size: 74
  Loop 243 size: 5
  Loop 244 size: 4
  Loop 245 size: 3
  Loop 246 size: 21
  Loop 247 size: 5
  Loop 248 size: 14
  Loop 249 size: 6
  Loop 250 size: 117
  Loop 251 size: 3
  Loop 252 size: 159
  Loop 253 size: 7
  Loop 254 size: 11
  Loop 255 size: 5
  Loop 256 size: 4
  Loop 257 size: 17
  Loop 258 size: 4
  Loop 259 size: 5
  Loop 260 size: 9
  Loop 261 size: 4
  Loop 262 size: 4
  Loop 263 size: 4
