Mesh Metrics:
  Number of vertices: 479372
  Number of faces: 919599
  Number of unique edges: 1402685
  Euler characteristic: -3714
  Number of boundary loops: 8326
  Number of boundary edges: 43041
  Average loop size: 5.16947
  Max loop size: 350
  Min loop size: 1
LOOP DETAILS:
  Loop 0 size: 2
  Loop 1 size: 1
  Loop 2 size: 1
  Loop 3 size: 1
  Loop 4 size: 2
  Loop 5 size: 4
  Loop 6 size: 4
  Loop 7 size: 4
  Loop 8 size: 4
  Loop 9 size: 2
  Loop 10 size: 1
  Loop 11 size: 12
  Loop 12 size: 10
  Loop 13 size: 4
  Loop 14 size: 3
  Loop 15 size: 4
  Loop 16 size: 1
  Loop 17 size: 4
  Loop 18 size: 1
  Loop 19 size: 4
  Loop 20 size: 8
  Loop 21 size: 4
  Loop 22 size: 4
  Loop 23 size: 3
  Loop 24 size: 5
  Loop 25 size: 5
  Loop 26 size: 4
  Loop 27 size: 2
  Loop 28 size: 4
  Loop 29 size: 1
  Loop 30 size: 4
  Loop 31 size: 4
  Loop 32 size: 5
  Loop 33 size: 4
  Loop 34 size: 4
  Loop 35 size: 61
  Loop 36 size: 3
  Loop 37 size: 2
  Loop 38 size: 14
  Loop 39 size: 4
  Loop 40 size: 67
  Loop 41 size: 4
  Loop 42 size: 3
  Loop 43 size: 4
  Loop 44 size: 2
  Loop 45 size: 1
  Loop 46 size: 1
  Loop 47 size: 3
  Loop 48 size: 5
  Loop 49 size: 2
  Loop 50 size: 4
  Loop 51 size: 30
  Loop 52 size: 3
  Loop 53 size: 1
  Loop 54 size: 2
  Loop 55 size: 2
  Loop 56 size: 2
  Loop 57 size: 3
  Loop 58 size: 4
  Loop 59 size: 2
  Loop 60 size: 2
  Loop 61 size: 6
  Loop 62 size: 2
  Loop 63 size: 2
  Loop 64 size: 4
  Loop 65 size: 6
  Loop 66 size: 2
  Loop 67 size: 1
  Loop 68 size: 7
  Loop 69 size: 4
  Loop 70 size: 2
  Loop 71 size: 1
  Loop 72 size: 3
  Loop 73 size: 1
  Loop 74 size: 105
  Loop 75 size: 1
  Loop 76 size: 4
  Loop 77 size: 1
  Loop 78 size: 1
  Loop 79 size: 4
  Loop 80 size: 1
  Loop 81 size: 2
  Loop 82 size: 2
  Loop 83 size: 2
  Loop 84 size: 1
  Loop 85 size: 2
  Loop 86 size: 3
  Loop 87 size: 1
  Loop 88 size: 4
  Loop 89 size: 1
  Loop 90 size: 2
  Loop 91 size: 4
  Loop 92 size: 1
  Loop 93 size: 2
  Loop 94 size: 4
  Loop 95 size: 4
  Loop 96 size: 1
  Loop 97 size: 1
  Loop 98 size: 2
  Loop 99 size: 1
  Loop 100 size: 1
  Loop 101 size: 1
