Mesh Metrics:
  Number of vertices: 1678693
  Number of faces: 2921021
  Number of unique edges: 4633240
  Euler characteristic: -33526
  Number of boundary loops: 32450
  Number of boundary edges: 501798
  Average loop size: 15.4637
  Max loop size: 3618
  Min loop size: 1
LOOP DETAILS:
  Loop 0 size: 2817
  Loop 1 size: 1
  Loop 2 size: 1
  Loop 3 size: 3
  Loop 4 size: 606
  Loop 5 size: 1
  Loop 6 size: 2203
  Loop 7 size: 1
  Loop 8 size: 1
  Loop 9 size: 1
  Loop 10 size: 1
  Loop 11 size: 2
  Loop 12 size: 141
  Loop 13 size: 1
  Loop 14 size: 1
  Loop 15 size: 3
  Loop 16 size: 16
  Loop 17 size: 26
  Loop 18 size: 34
  Loop 19 size: 2
  Loop 20 size: 1
  Loop 21 size: 6
  Loop 22 size: 1
  Loop 23 size: 16
  Loop 24 size: 34
  Loop 25 size: 1
  Loop 26 size: 1
  Loop 27 size: 4
  Loop 28 size: 3
  Loop 29 size: 1
  Loop 30 size: 1
  Loop 31 size: 1
  Loop 32 size: 1
  Loop 33 size: 1
  Loop 34 size: 381
  Loop 35 size: 4
  Loop 36 size: 4
  Loop 37 size: 8
  Loop 38 size: 3
  Loop 39 size: 455
  Loop 40 size: 2
  Loop 41 size: 7
  Loop 42 size: 1
  Loop 43 size: 3
  Loop 44 size: 9
  Loop 45 size: 3
  Loop 46 size: 2
  Loop 47 size: 1
  Loop 48 size: 1
  Loop 49 size: 1
  Loop 50 size: 255
  Loop 51 size: 20
  Loop 52 size: 5
  Loop 53 size: 1
  Loop 54 size: 5
  Loop 55 size: 13
  Loop 56 size: 1
  Loop 57 size: 14
  Loop 58 size: 1
  Loop 59 size: 1
  Loop 60 size: 34
  Loop 61 size: 2
  Loop 62 size: 4
  Loop 63 size: 35
  Loop 64 size: 3
  Loop 65 size: 1
  Loop 66 size: 1
  Loop 67 size: 1
  Loop 68 size: 1
  Loop 69 size: 11
  Loop 70 size: 1
  Loop 71 size: 4
  Loop 72 size: 1
  Loop 73 size: 32
  Loop 74 size: 2
  Loop 75 size: 1
  Loop 76 size: 1
  Loop 77 size: 1
  Loop 78 size: 1
  Loop 79 size: 1
  Loop 80 size: 3
  Loop 81 size: 2
  Loop 82 size: 1
  Loop 83 size: 6
  Loop 84 size: 3
  Loop 85 size: 1
  Loop 86 size: 2
  Loop 87 size: 1
  Loop 88 size: 68
  Loop 89 size: 3
  Loop 90 size: 5
  Loop 91 size: 4
  Loop 92 size: 4
  Loop 93 size: 3
  Loop 94 size: 4
  Loop 95 size: 3
  Loop 96 size: 17
  Loop 97 size: 5
  Loop 98 size: 11
  Loop 99 size: 9
  Loop 100 size: 4
  Loop 101 size: 3
  Loop 102 size: 7
  Loop 103 size: 16
  Loop 104 size: 14
  Loop 105 size: 8
  Loop 106 size: 3
  Loop 107 size: 4
  Loop 108 size: 3
  Loop 109 size: 4
  Loop 110 size: 7
  Loop 111 size: 4
  Loop 112 size: 5
  Loop 113 size: 5
  Loop 114 size: 4
  Loop 115 size: 4
  Loop 116 size: 2
  Loop 117 size: 1
  Loop 118 size: 6
  Loop 119 size: 1
  Loop 120 size: 4
  Loop 121 size: 8
  Loop 122 size: 1
  Loop 123 size: 3
  Loop 124 size: 3
  Loop 125 size: 3
  Loop 126 size: 6
  Loop 127 size: 104
  Loop 128 size: 1
  Loop 129 size: 2
  Loop 130 size: 1
  Loop 131 size: 3
  Loop 132 size: 49
  Loop 133 size: 825
  Loop 134 size: 4
  Loop 135 size: 78
  Loop 136 size: 6
  Loop 137 size: 7
  Loop 138 size: 3
  Loop 139 size: 6
  Loop 140 size: 5
  Loop 141 size: 220
  Loop 142 size: 1
  Loop 143 size: 4
  Loop 144 size: 1
  Loop 145 size: 1
  Loop 146 size: 180
  Loop 147 size: 1
  Loop 148 size: 59
  Loop 149 size: 1
  Loop 150 size: 1
  Loop 151 size: 88
  Loop 152 size: 1
  Loop 153 size: 1
  Loop 154 size: 1
  Loop 155 size: 5
  Loop 156 size: 1
  Loop 157 size: 5
  Loop 158 size: 1
  Loop 159 size: 7
  Loop 160 size: 28
  Loop 161 size: 3
  Loop 162 size: 1
  Loop 163 size: 1
  Loop 164 size: 13
  Loop 165 size: 6
  Loop 166 size: 4
  Loop 167 size: 4
  Loop 168 size: 5
  Loop 169 size: 14
  Loop 170 size: 5
  Loop 171 size: 3
  Loop 172 size: 9
  Loop 173 size: 3
  Loop 174 size: 18
  Loop 175 size: 134
  Loop 176 size: 1
  Loop 177 size: 17
  Loop 178 size: 3
  Loop 179 size: 16
  Loop 180 size: 1
  Loop 181 size: 5
  Loop 182 size: 8
  Loop 183 size: 11
  Loop 184 size: 7
  Loop 185 size: 1
  Loop 186 size: 1
  Loop 187 size: 10
  Loop 188 size: 1
  Loop 189 size: 1
  Loop 190 size: 691
  Loop 191 size: 2
  Loop 192 size: 3
  Loop 193 size: 3
  Loop 194 size: 2
  Loop 195 size: 3
  Loop 196 size: 4
  Loop 197 size: 1
  Loop 198 size: 3
  Loop 199 size: 1
  Loop 200 size: 3
  Loop 201 size: 2
  Loop 202 size: 1
  Loop 203 size: 3
  Loop 204 size: 436
  Loop 205 size: 1
  Loop 206 size: 3
  Loop 207 size: 1
  Loop 208 size: 3
  Loop 209 size: 1
  Loop 210 size: 2
  Loop 211 size: 3
